Ability,Total_Count
Swift Swim,43
Sturdy,41
Levitate,41
Keen Eye,40
Chlorophyll,35
Inner Focus,35
Intimidate,32
Frisk,31
Gluttony,30
Pressure,30
Run Away,29
Sheer Force,29
Swarm,28
Pickup,27
Overgrow,26
Blaze,26
Torrent,26
Sand Veil,26
Thick Fat,25
Water Absorb,25
Shell Armor,25
Unnerve,24
Infiltrator,24
Oblivious,24
Own Tempo,24
Telepathy,24
Hustle,23
Guts,22
Flash Fire,22
Technician,22
Hydration,22
Overcoat,22
Weak Armor,22
Rock Head,21
Regenerator,21
Lightning Rod,20
Flame Body,20
Insomnia,20
Leaf Guard,19
Shed Skin,18
Rivalry,18
Damp,18
Sand Force,18
Mold Breaker,18
Sniper,17
Static,17
Synchronize,17
Ice Body,17
Sap Sipper,17
Prankster,17
Poison Point,16
Clear Body,16
Anticipation,16
Natural Cure,16
Rattled,15
Vital Spirit,15
Defiant,15
Steadfast,15
Early Bird,15
Soundproof,15
Iron Fist,15
Big Pecks,14
Snow Cloak,14
Cute Charm,14
Limber,14
Unburden,14
Rain Dish,13
Adaptability,13
Scrappy,13
Cursed Body,13
Reckless,13
Serene Grace,13
Moxie,13
Analytic,12
Speed Boost,12
Shield Dust,11
Compound Eyes,11
Effect Spore,11
Hyper Cutter,11
Battle Armor,11
Healer,11
Water Veil,11
Quick Feet,11
Beast Boost,11
No Guard,10
Magic Guard,10
Justified,10
Skill Link,10
Pickpocket,10
Strong Jaw,10
Klutz,10
Solar Power,9
Tinted Lens,9
Sand Rush,9
Unaware,9
Competitive,9
Stench,9
Anger Point,9
Magnet Pull,9
Poison Touch,9
Volt Absorb,9
Super Luck,9
Magic Bounce,9
Plus,9
Contrary,9
Bulletproof,9
Sweet Veil,9
Tough Claws,8
Tangled Feet,8
Friend Guard,8
Snow Warning,8
Sticky Hold,8
Aftermath,8
Illuminate,8
Heavy Metal,8
Dry Skin,7
Cloud Nine,7
Moody,7
Minus,7
Storm Drain,7
Slush Rush,6
Trace,6
Shadow Tag,6
Forewarn,6
Harvest,6
Huge Power,6
Light Metal,6
Rough Skin,6
Magician,6
Drought,5
Wonder Skin,5
Suction Cups,5
Sand Stream,5
Simple,5
Cheek Pouch,5
Liquid Ooze,4
Download,4
Honey Gather,4
Solid Rock,4
White Smoke,4
Forecast,4
Protean,4
Motor Drive,4
Zen Mode,4
Flower Veil,4
Symbiosis,4
Aroma Veil,4
Stakeout,4
Dancer,4
Fluffy,4
Grassy Surge,4
Mega Launcher,3
Arena Trap,3
Galvanize,3
Neutralizing Gas,3
Filter,3
Immunity,3
Marvel Scale,3
Drizzle,3
Magma Armor,3
Pixilate,3
Poison Heal,3
Truant,3
Pure Power,3
Refrigerate,3
Heatproof,3
Iron Barbs,3
Gale Wings,3
Gooey,3
Power Construct,3
Long Reach,3
Liquid Voice,3
Psychic Surge,3
Prism Armor,3
Libero,3
Steam Engine,3
Ripen,3
Tangling Hair,2
Fur Coat,2
Pastel Veil,2
Power of Alchemy,2
Misty Surge,2
Screen Cleaner,2
Aerilate,2
Multiscale,2
Normalize,2
Flare Boost,2
Gorilla Tactics,2
Mummy,2
Wandering Spirit,2
Defeatist,2
Illusion,2
Turboblaze,2
Teravolt,2
Grass Pelt,2
Stance Change,2
Aura Break,2
Schooling,2
Merciless,2
Stamina,2
Water Bubble,2
Corrosion,2
Water Compaction,2
Shields Down,2
Electric Surge,2
Cotton Down,2
Sand Spit,2
Propeller Tail,2
Punk Rock,2
Ice Scales,2
Ice Face,2
Hunger Switch,2
Intrepid Sword,2
Dauntless Shield,2
Surge Surfer,1
Parental Bond,1
Imposter,1
Wonder Guard,1
Stall,1
Toxic Boost,1
Color Change,1
Primordial Sea,1
Desolate Land,1
Air Lock,1
Delta Stream,1
Flower Gift,1
Slow Start,1
Bad Dreams,1
Multitype,1
Victory Star,1
Mimicry,1
Battle Bond,1
Fairy Aura,1
Dark Aura,1
Battery,1
Queenly Majesty,1
Triage,1
Receiver,1
Wimp Out,1
Emergency Exit,1
Innards Out,1
RKS System,1
Comatose,1
Disguise,1
Dazzling,1
Berserk,1
Steelworker,1
Full Metal Body,1
Shadow Shield,1
Neuroforce,1
Soul-Heart,1
Mirror Armor,1
Ball Fetch,1
Gulp Missile,1
Steely Spirit,1
Perish Body,1
Power Spot,1
Stalwart,1
